-128.909,-161.6003,0.798663
-129.4936,-163.0704,0.8567166
-127.7017,-162.62,1.82901
-128.4927,-163.9158,1.8410384
-126.564,-163.5807,2.0952899
-127.7597,-164.5348,2.3263392
-126.2128,-163.8774,2.640248
-125.2493,-164.6911,3.3743577
-126.7685,-165.372,3.4208314
-124.5158,-165.3107,4.2309455
-122.162,-165.3348,5.3620085
-120.999,-164.3533,5.6118254
-119.4932,-163.6613,6.8898801
-118.4032,-162.618,7.413701
-117.2772,-159.9688,9.0214099
-117.0259,-158.8719,9.681118
-116.8734,-157.6914,9.9156436
-116.8974,-157.6714,10.413893
-117.2142,-154.7855,11.482296
-117.2832,-154.7272,11.593582
-117.89,-155.5243,11.598316
-119.7261,-153.9743,12.691189
-119.0737,-153.216,12.881393
-120.8336,-151.7305,13.963966
-121.7654,-152.2532,14.279994
-123.6964,-151.9326,15.302037
-125.0471,-152.1018,15.856006
-126.9734,-153.4214,16.440368
-126.1206,-152.505,16.60543
-127.1091,-153.3071,17.018934
-127.1586,-153.2655,17.415723
-128.3801,-154.1982,18.152765
-129.2372,-155.4387,19.030468
-129.6977,-157.0138,19.713516
-129.8147,-158.879,20.964641
-129.905,-160.7665,21.46606
-128.9411,-161.5807,22.491485
-128.3489,-164.0446,23.716875
-127.2817,-162.9823,23.779899
-125.7925,-164.2401,24.718502
-125.1739,-164.7626,25.398057
-122.8345,-164.775,26.663435
-122.405,-165.1379,27.279401
-121.2923,-164.1141,27.529676
-119.8639,-163.3572,28.55846
-118.6789,-162.3948,29.590829
-117.9363,-161.0588,30.569475
-117.4055,-159.8708,30.906705
-117.4615,-158.5152,32.202152
-116.9501,-157.638,32.292808
-117.811,-155.6027,33.475921
-118.6705,-154.8776,34.365901
-118.3935,-153.8025,34.72694
-119.6744,-154.0306,35.209655
-119.1996,-153.1224,35.237766
-119.9,-152.5316,36.031177
-121.1664,-152.7716,36.252304
-122.0938,-151.9893,37.126819
-123.5604,-152.0606,37.777488
-124.7325,-152.3807,38.449344
-125.7346,-152.844,38.91724
-127.0685,-153.3547,39.806465
-129.7788,-156.9582,42.308219
-129.4316,-159.2155,43.951736
-129.7257,-160.9305,44.531829
-128.4775,-161.9848,45.481452
-127.8692,-162.4988,46.271923
-127.8063,-164.5151,46.743373
-126.6025,-163.5688,47.394306
-125.2867,-164.6799,48.118179
