-46.92288,-88.37978,0.0465509
-47.70403,-87.10588,0.0515539
-44.95572,-88.30136,1.0881071
-45.21323,-89.00753,1.17983
-45.14389,-89.83358,1.3578507
-43.33526,-89.69661,1.9067126
-42.06171,-90.16397,2.3381998
-41.4165,-91.20144,2.6646962
-41.12176,-91.30968,2.7955429
-41.54117,-91.95649,2.8431792
-40.97287,-91.36492,3.3126132
-38.54517,-93.85849,4.8815755
-37.68991,-94.17287,5.3335862
-36.81597,-96.09571,5.9825515
-37.03603,-95.21435,6.0363674
-36.1044,-97.15847,6.7060565
-36.0102,-96.39244,6.7536282
-35.6269,-96.53351,7.0368671
-35.28637,-97.45963,7.369699
-35.0313,-97.55351,7.5584888
-35.03798,-98.35176,7.5721759
-34.45142,-99.36873,8.2707576
-33.52948,-101.31,9.2936945
-33.33971,-102.1806,9.4965877
-33.03868,-103.0927,10.148375
-32.72348,-104.0098,10.63584
-32.46654,-104.9054,11.031802
-32.51856,-105.6873,11.312825
-32.2176,-107.4004,12.313683
-32.2101,-108.2039,12.358731
-32.14737,-109.0283,13.003137
-32.36919,-109.7477,13.210452
-32.28311,-110.5804,13.644595
-32.33801,-111.3614,14.052939
-32.46985,-112.1139,14.442845
-32.69116,-112.8334,14.661528
-32.37029,-112.1508,14.691939
-32.66873,-113.6425,14.848577
-32.99226,-114.3247,15.413363
-33.16753,-115.0616,16.099531
-33.46116,-115.7546,16.477542
-33.33218,-116.6027,16.588855
-33.93521,-116.3814,16.881916
-34.2252,-117.8761,17.199871
-34.07274,-117.1317,17.218885
-34.46172,-118.5903,17.79248
-34.85163,-119.2477,18.010885
-35.21815,-119.9134,18.026617
-35.34513,-119.8673,18.506933
-35.77146,-120.5112,18.746671
-35.88254,-120.4707,19.010362
-36.22602,-121.145,19.199987
-36.66393,-121.785,19.640487
-37.11676,-122.4192,19.903835
-37.5285,-123.0683,19.999675
-37.52743,-123.069,20.233882
-38.1731,-123.6322,20.406183
-40.15395,-125.307,22.146308
-43.35235,-127.7343,23.556139
-44.79177,-128.2733,24.522821
-46.00415,-128.8954,25.127384
-46.42497,-128.7413,25.592189
-47.70363,-129.3388,26.004142
-49.19735,-129.8577,26.698766
-49.88422,-129.6058,27.153236
-50.90047,-130.2995,27.388151
-51.56947,-130.0542,27.789018
-54.09394,-130.1951,29.053123
-55.6116,-129.6385,29.810014
-56.73206,-129.2277,30.349611
-57.60129,-129.9754,30.6037
-56.92985,-129.1553,30.6315
-58.72905,-129.5621,31.358657
-59.97464,-129.1051,31.649883
-61.37449,-128.592,32.467098
-63.19741,-127.9239,33.533466
-64.90457,-127.2982,34.330429
-65.63396,-127.031,34.835067
-67.03261,-126.5183,35.424499
-66.86428,-125.5138,35.610683
-68.04839,-125.0801,36.364196
-67.99752,-124.0324,36.463504
-69.03296,-123.653,36.907627
-69.542,-123.4669,37.508834
-72.85695,-120.2285,39.58189
-72.55467,-119.1735,39.873325
-73.61345,-118.2796,40.417964
-73.74665,-116.857,40.944156
-74.1005,-116.5585,41.36462
-74.02366,-115.3131,41.726745
-74.55393,-113.5555,42.586685
-74.85092,-113.3052,43.08546
-75.37179,-108.4443,45.262622
-75.29262,-107.5282,45.34758
-75.19989,-106.6241,45.792987
-75.10743,-105.7201,46.602726
-75.02085,-104.8103,46.683109
-74.91628,-103.9166,47.468021
-74.62959,-103.176,47.683231
-74.39516,-102.3912,47.936897
-74.38657,-102.3987,48.148147
-74.1872,-101.5843,48.339553
-74.25038,-101.5313,48.625534
-74.00585,-100.755,48.777919
-73.6821,-100.046,49.311721
-73.39802,-99.30313,49.504474
-72.94328,-98.70444,49.814685
-72.63171,-97.98502,50.228534
-71.8207,-96.70396,50.471492
-72.33306,-97.25473,50.676868
-71.65197,-96.84746,51.235057
-71.00704,-95.4264,51.664421
-70.51074,-94.86279,51.981864
-70.00427,-94.30792,52.433525
-69.45185,-93.79148,52.622955
-69.02993,-93.16516,53.030159
-68.40718,-92.70824,53.345428
-67.23902,-91.7292,54.045188
-66.7338,-91.17293,54.29
-66.10926,-90.71772,54.762081
-65.29772,-90.41976,54.815845
-64.55331,-90.06615,55.560039
-63.89145,-89.64193,55.695758
-63.0939,-89.33291,56.26334
-62.38956,-88.94472,56.519157
-61.6446,-88.59107,56.937206
-61.03349,-88.12377,56.949455
-60.87342,-88.25921,57.136402
-60.2112,-87.83589,57.692733
-59.16959,-87.73271,58.114166
-59.03496,-87.84674,58.338977
-58.24847,-87.52779,58.529144
-57.08648,-87.5262,58.886039
-55.95268,-87.50108,59.402339
-54.81404,-87.48038,60.129684
-53.87891,-87.28707,60.368351
-53.10622,-86.95687,60.791935
-48.64222,-87.83446,62.687698
-47.82864,-88.13302,63.075042
-45.99215,-88.80733,64.135444
-45.36508,-88.23721,64.240013
-44.13813,-89.48783,64.943061
-42.18923,-90.2033,65.788436
-42.21059,-90.99588,65.989074
-40.43816,-90.84598,66.319496
-40.98033,-91.44763,66.507743
-38.63411,-93.11001,67.829521
-38.56297,-93.93647,67.955093
-36.40786,-95.52883,69.082901
-35.91873,-96.50942,69.714202
-35.65467,-96.60665,69.966537
-35.13937,-97.5967,70.476554
-34.78344,-98.52767,70.550941
-34.63209,-98.58348,70.724128
-34.22746,-99.53273,71.084533
-33.67764,-100.5358,71.860137
-33.57036,-101.3756,71.960365
-32.73247,-102.4847,72.864898
-32.83227,-103.2483,72.915512
-32.7028,-104.0968,73.422058
-32.23876,-105.0679,73.819198
-32.18445,-105.8884,74.048736
-31.98607,-106.7621,74.596405
-31.83015,-108.4206,75.211525
